ref	value	footprint	Field1	Field2	Field3	Field4	Field5	Field6	Field7	Field8
C201	10UF		Taiyo Yuden	LMK212BJ106KG-T
C202	2_2NF		AVX	08053A222JAT2A
C203	10UF		Taiyo Yuden	LMK212BJ106KG-T
C204	2_2NF		AVX	08053A222JAT2A
C205	22UF		TDK	C2012X5R0J226M
C206	100NF		Kemet	C0805C104K3RACTU
C207	10UF		Taiyo Yuden	LMK212BJ106KG-T
C208	2_2NF		AVX	08053A222JAT2A
C209	220NF		Kemet	C0805C224K5RACTU
C401	0.1UF	
C701	0.47UF	
C702	0.47UF	
C703	0.47UF	
C704	0.47UF	
C705	0.47UF	
C706	0.47UF	
C707	0.47UF	
C708	0.47UF	
C709	4.7UF	
C710	0.47UF	
C711	0.47UF	
C712	0.47UF	
C713	4.7UF	
C714	4.7UF	
C715	0.47UF	
C716	4.7UF	
C717	4.7UF	
C718	4.7UF	
C719	100UF	
C720	100UF	
C721	100UF	
C722	100UF	
C723	100UF	
C724	100UF	
L201	2.2UH		TDK	VLC6045T-2R2N
L202	100NH		TDK	NLCV32T-R10M-PFR
L203	2.2UH		TDK	VLC6045T-2R2N
L204	100NH		TDK	NLCV32T-R10M-PFR
L205	2.2UH		TDK	VLC6045T-2R2N
R201	100K		Panasonic	ERJ-3GEYJ104V
R202	100K		Panasonic	ERJ-3GEYJ104V
R203	10K		Panasonic	ERJ-3GEYJ103V
R204	20K		Panasonic	ERJ-3EKF2002V
R205	100K		Panasonic	ERJ-3GEYJ104V
R206	62K		Panasonic	ERJ-3EKF6202V
R207	20K		Panasonic	ERJ-3EKF2002V
R308	100_OHM	
R310	100_OHM	
R401	330_OHM	
R402	4_7K	
R403	4_7K	
R404	60_4K	
R405	4_7K	
R406	4_7K	
R407	4_7K	
R408	10K	
R409	10K	
R410	10K	
U201	DC_BARREL	
U202	TPS62132	
U203	TPS62130	
U204	TPS62130	
U205	JTAG_CONN	
U303	BLUE_LED	
U305	BLUE_LED	
U401	BEAGLEBONE	
U404	XRA1207	
U405	100MHZOSC	
U406	EEPROM_SWITCH	
U407	CAT24C256	
U501	FPGA_20_PIN_HEADER	
U503	W9825G6JH	
U601	FPGA_20_PIN_HEADER	
U701	JTAG_CONN	
U702	XC6SLX25FTG256	
